Datetime,Open,High,Low,Close,Volume,log_return,volatility,rsi,macd,price_range,range_strength,momentum,volume_pressure,volume_volatility,turnover,rel_volume,ema_fast,ema_slow,trend_strength,ema_20,trend,volatility_change,volatility_break
2026-01-19 08:45:00+00:00,25589.650390625,25610.75,25586.5,25610.05078125,0,0.000771479115937652,0.0005696000337379972,63.79635277451808,18.593404811697837,24.25,0.000946893866247519,15.05078125,0.0,0.0,0.0,0.0,25589.05564060997,25554.93417575511,34.12146485486301,25571.784042126983,38.26673912301703,3.1780957382188417e-06,0.0006641464775401864
2026-01-19 08:50:00+00:00,25609.849609375,25615.349609375,25604.400390625,25608.30078125,0,-6.833488182626307e-05,0.0005690549623541977,63.11517332736661,19.103675457285135,10.94921875,0.000427565219695845,9.55078125,-0.0,0.0,0.0,0.0,25592.55477091447,25557.21819139948,35.33657951499117,25575.26886250651,33.03191874349068,-5.450713837994951e-07,0.0006505543323170706
2026-01-19 08:55:00+00:00,25607.349609375,25610.349609375,25588.80078125,25592.30078125,0,-0.0006249926771383251,0.0005909859868519262,57.11101443712542,18.009401171548234,21.548828125,0.0008420043320194789,-25.298828125,-0.0,0.0,0.0,0.0,25592.5085908262,25558.714316417565,33.79427440863583,25576.89391845501,15.406862794989138,2.193102449772849e-05,0.0006994777346668675
2026-01-19 09:00:00+00:00,25591.94921875,25606.75,25591.75,25604.349609375,0,0.00047068815070978165,0.0005725887353120596,60.182850752911676,17.907988505554385,15.0,0.000585837962231305,-14.5,0.0,0.0,0.0,0.0,25594.6615089836,25560.653817171024,34.00769181257783,25579.513074857117,24.836534517882683,-1.8397251539866593e-05,0.0006800888157475224
2026-01-19 09:05:00+00:00,25603.900390625,25615.349609375,25597.599609375,25615.30078125,0,0.00042761604026404873,0.0005741569230748292,62.791383469621096,18.498052252929483,17.75,0.0006929452107897862,25.0,0.0,0.0,0.0,0.0,25598.41411206141,25562.968711226626,35.44540083478569,25582.926532007856,32.37424924214429,1.5681877627696022e-06,0.0006251306807068783
2026-01-19 09:10:00+00:00,25615.44921875,25621.69921875,25606.849609375,25614.900390625,0,-1.563103856116029e-05,0.0005743412913556379,62.62983035001126,18.717608902552456,14.849609375,0.0005797254390204539,4.849609375,-0.0,0.0,0.0,0.0,25601.411622561795,25565.16168605204,36.24993650975375,25585.97578672255,28.924603902451054,1.8436828080870514e-07,0.0005910032049168877
2026-01-19 09:15:00+00:00,25614.650390625,25626.80078125,25613.25,25623.30078125,0,0.00032789561335644753,0.0005762073895170484,64.68288621189672,19.34643676732958,13.55078125,0.0005288460438862356,15.0,0.0,0.0,0.0,0.0,25605.39147536109,25567.609414585597,37.782060775494756,25589.534904637967,33.765876612033026,1.8660981614105308e-06,0.0005961104725755065
2026-01-19 09:20:00+00:00,25622.19921875,25636.25,25618.55078125,25627.0,0,0.00014435890911983183,0.0005284447257135793,65.5796663645591,19.913730330699764,17.69921875,0.0006906473153045363,34.69921875,0.0,0.0,0.0,0.0,25609.32030267912,25570.10263806742,39.21766461170046,25593.106964915518,33.89303508448211,-4.7762663803469136e-05,0.0005533322921387537
2026-01-19 09:25:00+00:00,25625.94921875,25636.30078125,25616.400390625,25628.94921875,0,7.605824419008709e-05,0.0005289244283473915,66.06858656840436,20.286747235553776,19.900390625,0.0007764809417026158,24.599609375,0.0,0.0,0.0,0.0,25612.889199970952,25572.566213794802,40.32298617615015,25596.523936700814,32.425282049185626,4.797026338121966e-07,0.0005534657221990277
2026-01-19 09:30:00+00:00,25629.30078125,25633.69921875,25605.099609375,25613.849609375,0,-0.0005893358738141583,0.0005508569990850284,59.06900067168761,19.143281701060914,28.599609375,0.0011165681773744624,-1.451171875,-0.0,0.0,0.0,0.0,25613.063820001138,25574.28995197584,38.773868025298725,25598.175498021286,15.67411135371367,2.1932570737636953e-05,0.0004462144264291151
